blackwomenvote,750,42
ahs6,751,42
uspoli,752,42
md,753,42
torture,754,42
congratulations,755,41
hiphop,756,41
justsaying,757,41
idiocracy,758,41
giuliani,759,41
tlot,760,41
sharktank,761,41
alwaystrump,762,41
lasen,763,41
unitedstates,764,40
netnoticiasmx,765,40
fighton,766,40
donaldtrumpforpresident,767,40
imwithhillary,768,40
lorettalynch,769,39
liberal,770,39
russian,771,39
tuesday,772,39
hypocrisy,773,39
draintheswap,774,39
str8n8v4lyf,775,39
survivor,776,39
poll,777,38
gays,778,38
top3apps,779,38
scientificpopsongs,780,38
mcm,781,37
hillarysamerica,782,37
mls,783,37
jaymohrsports,784,37
growup,785,37
wow,786,37
lsu,787,37
lakeshow,788,37
katyperry,789,37
murica,790,37
drstrange,791,37
hilary,792,37
autumn,793,37
annoypeopleinthewaitingroom,794,37
emailscandal,795,36
imwithhim,796,36
fml,797,36
1linewed,798,36
wednesday,799,36
clevelandindians,800,36
tampa,801,36
lgbtirights,802,36
twitterblackout,803,35
drumpf,804,35
weinergate,805,35
berniemustdisavow,806,35
votersuppression,807,35
chrischristie,808,35
prolife,809,35
usc,810,35
alabama,811,35
christian,812,35
donald,813,34
bye,814,34
life,815,34
political,816,34
flotus,817,34
black,818,34
help,819,34
blackvotesmatter,820,34
makedonalddrumpfagain,821,34
npr,822,34
sorrynotsorry,823,34
womeninpolitics,824,33
rap,825,33
landslide,826,33
gay,827,33
latina,828,33
trumprape,829,33
anonymous,830,33
hillarybecause,831,32
cspan,832,32
turncongressblue,833,32
ac360,834,31
coverup,835,31
theflash,836,31
clintons,837,31
polls,838,31
redsox,839,31
trumpland,840,31
indicthillary,841,31
christie,842,31
monterrey,843,31
video,844,31
theblacklist,845,31
health,846,30
fightfor15,847,30
science,848,30
manhattan,849,29
happyfriday,850,29
greennewdeal,851,29
icymi,852,29
charlotte,853,29
taxreturns,854,29
rape,855,29
dropouthillary,856,28
steinbaraka,857,28
freedom,858,28
evil,859,28
sexist,860,28
independent,861,27
throwbackthursday,862,27
newday,863,27
thunderup,864,27
motivation,865,27
revolution,866,27
windians,867,26
turnsenateblue,868,26
nashville,869,26
cavs,870,26
hilliary,871,26
hillaryclinton2016,872,26
momsdemand,873,25
pdx,874,25
tribe,875,25
melaniaspeech,876,25
lyinghillary,877,25
facts,878,24
putinspuppet,879,24
spotify,880,24
libtards,881,23
specialreport,882,23
nofilter,883,23
getoverit,884,23
freepress,885,23
newyorkcity,886,23
fraud,887,22
georgesoros,888,22
hypocrites,889,22
pbsnews,890,22
emailgate,891,22
saveamerica,892,22
treason,893,21
pbsnewshour,894,21
epic,895,21
rnc,896,21
mequema,897,21
postseason,898,21
boycottcnn,899,21
twisters,900,21
doublestandard,901,20
strangerthings,902,20
happy,903,19
humor,904,19
cbsnews,905,19
scary,906,19
horror,907,19
batman,908,18
policenews,909,18
lesm,910,18
mikepence,911,18
washington,912,18
syria,913,18
starbucks,914,18
criminal,915,18
boycott,916,18
hate,917,18
cincinnati,918,18
americanhorrorstory,919,17
world,920,17
elections,921,17
baltimore,922,17
nature,923,17
unfit,924,17
lawenforcement,925,17
etsy,926,17
alllivesmatter,927,17
starwars,928,17
milwaukee,929,17
socialmedia,930,17
policelivesmatter,931,17
yummy,932,17
factcheck,933,16
goodnight,934,16
unitedwestand,935,16
fashion,936,16
usmc,937,16
dirtbagdonnie,938,16
beautiful,939,16
foodie,940,16
